"","name","color","geometry"
"12975142",NA,"green",c(576116.503209757, 6227408.72224055)
"23568150","ARoS Kunstmuseum","green",c(574517.097212586, 6223854.98657049)
"32067922",NA,"green",c(581556.966383752, 6237527.37258163)
"32067924",NA,"green",c(581606.33081865, 6237625.80986506)
"34247371",NA,"green",c(574741.34317354, 6225275.81698063)
"37930615",NA,"green",c(574711.058219195, 6226124.45965573)
"37930616",NA,"green",c(574698.737597515, 6226156.4181635)
"38036160",NA,"green",c(570768.888082531, 6216824.35199308)
"38036161",NA,"green",c(570792.238641881, 6216770.17917555)
"38036162","Tranbjergskolen","green",c(570974.144938319, 6216702.60419721)
"41113303",NA,"green",c(570829.702947808, 6217639.83439295)
"41160762",NA,"green",c(571117.156056043, 6216649.47541547)
"41162526",NA,"green",c(570742.239943495, 6217276.09244089)
"41176529",NA,"green",c(570728.866018193, 6216530.49422908)
"41176532",NA,"green",c(570728.949510386, 6216438.95918954)
"41176584",NA,"green",c(570557.678769209, 6216660.67766858)
"41178625",NA,"green",c(571561.284344228, 6216964.96165864)
"41178627",NA,"green",c(571681.641845259, 6216894.35922999)
"41192000",NA,"green",c(570843.196909613, 6217128.53415539)
"41192005",NA,"green",c(570781.620706132, 6217086.70931361)
"41321503","Det Kgl. Bibliotek","green",c(574464.109556823, 6225682.59852827)
"41327377","Antikmuseet","green",c(574527.51849888, 6225712.57952034)
"42984016","Aarhus Universitetshospital","green",c(572635.287676882, 6227940.95696791)
"44834565","Virupskolen","green",c(578811.694056373, 6233923.66005606)
"51676174","Skolebakken","green",c(575345.493936066, 6224233.4777215)
"53470679",NA,"green",c(574905.068789092, 6223979.75556121)
"56464294",NA,"green",c(577833.506776703, 6232862.65104533)
"59531825",NA,"green",c(572613.919773751, 6223211.42853194)
"59729969",NA,"green",c(576187.960299682, 6229660.74525531)
"67884991",NA,"green",c(576741.749680262, 6228494.50939959)
"87547337","Scandic Hotel","green",c(571507.326654987, 6225231.47835868)
"87596718","Kvickly","green",c(572325.522619075, 6224022.64239708)
"90111377","Gellerup Kirke","green",c(570431.699670636, 6223995.91560857)
"90425308","Coop365","green",c(573708.763020874, 6222590.37000017)
"90425310","Meny Aarhus C","green",c(573734.927781497, 6222640.41202121)
"100288122",NA,"green",c(575047.638928553, 6225596.33008173)
"107363057","Salling","green",c(574990.312451094, 6223921.75903136)
"107368839",NA,"green",c(574990.174048192, 6223513.8798617)
"109264590","Sankt Lukas Kirke","green",c(574191.597168231, 6222835.11867569)
"109268469",NA,"green",c(574350.780268123, 6222772.15520339)
"110589771","Folkestedet","green",c(574146.405173974, 6223986.72229285)
"110779009",NA,"green",c(574095.207989534, 6222994.395073)
"122007299","Lagkagehuset","green",c(573714.373971526, 6222697.01746454)
"143397006","Tivoli Friheden","green",c(574462.959846113, 6221930.54175951)
"143821035","Ingerslevs Plads","green",c(574368.850864152, 6222829.29421502)
"144812527","Frederiksbjerg Idrætscenter - Aarhus Svømmestadion","green",c(574379.064019742, 6222755.88167408)
